,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
0,164725.0,submitted / declined,declined,GB,London,london,1.0,2.0,40_60,100k_200k,6.0,9.259259259259259e-07,less_10s,5_7
1,141447.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,3.0,8.101851851851852e-07,less_10s,3_5
2,176364.0,submitted / matched / booked,booked,US,New York,new york,1.0,8.0,20_40,50k_100k,1.0,1.6203703703703703e-06,less_10s,inf_3
3,127255.0,submitted / declined,declined,GB,London,london,1.0,3.0,60_80,200k_500k,6.0,7.523148148148148e-07,less_10s,5_7
4,127258.0,submitted / declined,declined,GB,London,london,1.0,7.0,20_40,1_5millions,3.0,2.5694444444444443e-06,less_10s,3_5
5,127257.0,submitted / declined,declined,GB,London,london,1.0,7.0,20_40,1_5millions,3.0,1.9791666666666666e-06,less_10s,3_5
6,127259.0,submitted / declined,declined,GB,London,london,1.0,7.0,40_60,1_5millions,3.0,3.1597222222222224e-06,less_10s,3_5
7,127256.0,submitted / declined,declined,GB,London ,london,1.0,7.0,inf_20,1_5millions,3.0,1.388888888888889e-06,less_10s,3_5
8,165064.0,submitted / matched / declined,declined,GB,London,london,1.0,8.0,40_60,10k_50k,1.0,8.449074074074074e-07,less_10s,inf_3
9,167921.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,5.0,3.125e-06,less_10s,5_7
10,144034.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,17.736271898148146,sup_15j,sup_30
11,144077.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,1.701168414351852,1j_3j,sup_30
12,143671.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,7.638888888888889e-07,less_10s,sup_30
13,144032.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,41.0,17.736037858796298,sup_15j,sup_30
14,144033.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,200k_500k,41.0,17.73619064814815,sup_15j,sup_30
15,144035.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,41.0,17.73635769675926,sup_15j,sup_30
16,139342.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,60_80,200k_500k,14.0,0.012210393518518518,10s_1h,10_15
17,139338.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,14.0,0.009571111111111112,10s_1h,10_15
18,139339.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,11.0,0.010735717592592592,10s_1h,10_15
19,139337.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,inf_20,100k_200k,6.0,9.375e-07,less_10s,5_7
26,160157.0,declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,6.0,3.797177789351852,3j_15j,5_7
27,160156.0,declined,declined,GB,London,london,1.0,4.0,inf_20,100k_200k,6.0,3.797368310185185,3j_15j,5_7
28,160158.0,declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,1.0,13.782801145833334,3j_15j,inf_3
29,147553.0,submitted / declined,declined,US,New York,new york,1.0,2.0,sup_200,sup_5millions,5.0,1.1805555555555556e-06,less_10s,5_7
30,147630.0,submitted / matched / booked,booked,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,0.37182186342592594,1h_1j,5_7
31,147554.0,submitted / declined,declined,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,2.638888888888889e-06,less_10s,5_7
32,147620.0,submitted,submitted,US,New York,new york,1.0,3.0,sup_200,1_5millions,6.0,0.14460993055555554,1h_1j,5_7
33,155558.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,200k_500k,13.0,2.453703703703704e-06,less_10s,10_15
34,155559.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,10.0,3.5300925925925924e-06,less_10s,10_15
35,155557.0,submitted / declined,declined,GB,London,london,1.0,3.0,40_60,200k_500k,10.0,1.1342592592592592e-06,less_10s,10_15
36,140950.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,4.0,1.7361111111111112e-06,less_10s,3_5
37,140949.0,submitted / declined,declined,US,New York City,new york,1.0,3.0,40_60,200k_500k,6.0,9.143518518518518e-07,less_10s,5_7
38,141393.0,submitted / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,6.0,2.0254880671296296,1j_3j,5_7
39,140951.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,20_40,200k_500k,7.0,2.5578703703703702e-06,less_10s,7_10
42,170924.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,109.92877712962962,sup_15j,inf_3
43,172875.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,116.95348899305556,sup_15j,inf_3
44,174625.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,123.92320420138888,sup_15j,inf_3
45,175891.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,130.93870306712964,sup_15j,inf_3
46,177406.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,138.12807997685186,sup_15j,inf_3
47,178518.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,145.07776601851853,sup_15j,inf_3
48,179597.0,submitted / matched / booked,booked,GB,Manchester,manchester,0.0,4.0,inf_20,inf_10k,2.0,152.06420599537037,sup_15j,inf_3
49,141081.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,20.0,0.9078339930555556,1h_1j,15_30
50,140895.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,20.0,0.020238576388888888,10s_1h,15_30
51,141082.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,0.9078348842592593,1h_1j,15_30
52,141167.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,1.043876388888889,1j_3j,15_30
53,140873.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,20.0,6.944444444444445e-07,less_10s,15_30
54,146438.0,submitted / submitted / declined,declined,GB,London,london,1.0,8.0,40_60,50k_100k,3.0,1.1226851851851851e-06,less_10s,3_5
55,146660.0,declined,declined,GB,London,london,1.0,8.0,100_200,100k_200k,2.0,9.051767997685186,3j_15j,inf_3
56,146659.0,declined,declined,GB,London,london,1.0,8.0,80_100,50k_100k,2.0,9.051875104166667,3j_15j,inf_3
57,146661.0,declined,declined,GB,London,london,1.0,3.0,20_40,50k_100k,2.0,9.051532719907408,3j_15j,inf_3
58,146658.0,declined,declined,GB,London,london,1.0,7.0,sup_200,100k_200k,2.0,9.051446585648149,3j_15j,inf_3
66,132290.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,7.0,9.872685185185185e-06,less_10s,7_10
67,132291.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,200k_500k,7.0,1.0706018518518518e-05,less_10s,7_10
