,booking_request_id,to_state,ending_stage,idea_id,space_id,country,city,portfolio_type,floor_size,floor_size_unit,floor_size_cat,price,price_category,time_booked,time_after_creation,after_creation,times_booked_cat
0,164725.0,submitted / declined,declined,2,366.0,GB,London,2.0,550.0,0.0,40_60,224000.0,100k_200k,6.0,9.259259259259259e-07,less_10s,5_7
1,141447.0,submitted / declined,declined,4,5844.0,FR,Paris,3.0,23.0,1.0,20_40,100000.0,100k_200k,3.0,8.101851851851852e-07,less_10s,3_5
2,176364.0,submitted / matched / booked,booked,5,5241.0,US,New York,8.0,275.0,0.0,20_40,78750.0,50k_100k,1.0,1.6203703703703703e-06,less_10s,inf_3
3,127255.0,submitted / declined,declined,6,4035.0,GB,London,3.0,800.0,0.0,60_80,455000.0,200k_500k,6.0,7.523148148148148e-07,less_10s,5_7
4,127258.0,submitted / declined,declined,6,5438.0,GB,London,7.0,323.0,0.0,20_40,1036000.0,1_5millions,3.0,2.5694444444444443e-06,less_10s,3_5
5,127257.0,submitted / declined,declined,6,5441.0,GB,London,7.0,258.0,0.0,20_40,1176000.0,1_5millions,3.0,1.9791666666666666e-06,less_10s,3_5
6,127259.0,submitted / declined,declined,6,5449.0,GB,London,7.0,538.0,0.0,40_60,1316000.0,1_5millions,3.0,3.1597222222222224e-06,less_10s,3_5
7,165064.0,submitted / matched / declined,declined,8,6098.0,GB,London,8.0,490.0,0.0,40_60,30000.0,10k_50k,1.0,8.449074074074074e-07,less_10s,inf_3
8,167921.0,submitted / declined,declined,13,4815.0,FR,Paris,3.0,20.0,1.0,20_40,75000.0,50k_100k,5.0,3.125e-06,less_10s,5_7
9,144034.0,declined,declined,14,2892.0,FR,Paris,3.0,30.0,1.0,20_40,364000.0,200k_500k,41.0,17.736271898148146,sup_15j,sup_30
10,144077.0,submitted / declined,declined,14,2892.0,FR,Paris,3.0,30.0,1.0,20_40,364000.0,200k_500k,41.0,1.701168414351852,1j_3j,sup_30
11,143671.0,submitted / matched / declined,declined,14,4224.0,FR,Paris,3.0,27.0,1.0,20_40,420000.0,200k_500k,41.0,7.638888888888889e-07,less_10s,sup_30
12,144032.0,declined,declined,14,5120.0,FR,Paris,3.0,25.0,1.0,20_40,413000.0,200k_500k,41.0,17.736037858796298,sup_15j,sup_30
13,144033.0,declined,declined,14,5160.0,FR,Paris,3.0,8.0,1.0,inf_20,385000.0,200k_500k,41.0,17.73619064814815,sup_15j,sup_30
14,144035.0,declined,declined,14,5967.0,FR,Paris,3.0,24.0,1.0,20_40,280000.0,100k_200k,41.0,17.73635769675926,sup_15j,sup_30
15,139342.0,submitted / declined,declined,15,2940.0,FR,Paris,3.0,60.0,1.0,60_80,385200.0,200k_500k,14.0,0.012210393518518518,10s_1h,10_15
16,139338.0,submitted / declined,declined,15,3625.0,FR,Paris,3.0,53.0,1.0,40_60,406600.0,200k_500k,14.0,0.009571111111111112,10s_1h,10_15
