,id,city,space_id,idea_id,start_on,end_on,price_pounds
6,176364,New York,5241,5,2019-01-25 00:00:00,2019-01-26 00:00:00,78750
59,147630,New York,3972,21,2018-09-02 00:00:00,2018-09-08 00:00:00,4117645
83,170383,Manchester,6341,26,2018-11-01 00:00:00,2018-11-01 00:00:00,3000
85,177406,Manchester,6341,26,2018-12-04 00:00:00,2018-12-06 00:00:00,9000
89,170924,Manchester,6341,26,2018-11-06 00:00:00,2018-11-08 00:00:00,9000
91,172875,Manchester,6341,26,2018-11-13 00:00:00,2018-11-15 00:00:00,9000
94,174625,Manchester,6341,26,2018-11-20 00:00:00,2018-11-22 00:00:00,9000
98,179597,Manchester,6341,26,2018-12-18 00:00:00,2018-12-20 00:00:00,9000
101,175891,Manchester,6341,26,2018-11-28 00:00:00,2018-11-30 00:00:00,9000
103,178518,Manchester,6341,26,2018-12-11 00:00:00,2018-12-13 00:00:00,9000
137,152333,New York,5311,35,2018-09-11 00:00:00,2018-09-11 00:00:00,168000
252,164523,London,3265,52,2018-12-02 00:00:00,2018-12-09 00:00:00,64000
281,140779,New York,5620,61,2018-09-08 00:00:00,2018-09-09 00:00:00,280000
283,148673,London,1344,62,2018-08-09 00:00:00,2018-08-09 00:00:00,218000
325,156022,London ,6569,68,2018-09-28 00:00:00,2018-09-28 00:00:00,20000
368,125718,London,5088,81,2018-06-10 00:00:00,2018-06-17 00:00:00,672600
459,152863,London,5563,105,2018-10-24 00:00:00,2018-10-24 00:00:00,4000
463,168132,London,5562,105,2018-12-07 00:00:00,2018-12-14 00:00:00,12000
464,168812,London,5562,105,2018-11-23 00:00:00,2018-11-23 00:00:00,6000
468,153647,London,5562,105,2018-10-12 00:00:00,2018-10-26 00:00:00,90000
472,163097,London,4912,105,2018-12-17 00:00:00,2018-12-18 00:00:00,12000
521,115354,Paris,2893,113,2018-05-17 00:00:00,2018-05-27 00:00:00,545575
599,127298,London,310,126,2018-05-08 00:00:00,2018-05-08 00:00:00,15000
636,128441,London,383,135,2018-06-25 00:00:00,2018-07-01 00:00:00,87500
